Dataset,Algorithm,F1_measure,Accuracy,Precision,Recall,TimeToken
HDFS,Drain,0.999984,0.997500,1.000000,0.999969,0:00:00.097716
HDFS,Spell,1.000000,1.000000,1.000000,1.000000,0:00:00.098909
HDFS,HLM_Parser_S,1.000000,1.000000,1.000000,1.000000,0:00:00.093262
HDFS,Drain_A,0.999984,0.997500,1.000000,0.999969,0:00:00.115531
HDFS,HLM_Parser,1.000000,1.000000,1.000000,1.000000,0:00:00.116706
BGL,Drain,0.999599,0.962500,0.999244,0.999955,0:00:00.086780
BGL,Spell,0.956932,0.786500,0.999039,0.918231,0:00:00.164188
BGL,HLM_Parser_S,0.999314,0.944000,0.998674,0.999955,0:00:00.095252
BGL,Drain_A,0.999599,0.962500,0.999244,0.999955,0:00:00.091766
BGL,HLM_Parser,0.999495,0.947000,0.999037,0.999955,0:00:00.099924
OpenStack,Drain,0.994284,0.902000,0.988634,1.000000,0:00:00.129183
OpenStack,Spell,0.909855,0.305500,0.834974,0.999491,0:00:00.141750
OpenStack,HLM_Parser_S,0.910108,0.316500,0.835044,1.000000,0:00:00.134629
OpenStack,Drain_A,0.994284,0.902000,0.988634,1.000000,0:00:00.131892
OpenStack,HLM_Parser,0.910108,0.316500,0.835044,1.000000,0:00:00.132367
