Dataset,Algorithm,F1_measure,Accuracy,Precision,Recall,TimeToken
HDFS,Drain,0.999984,0.997500,1.000000,0.999969,0:00:00.099095
HDFS,Spell,1.000000,1.000000,1.000000,1.000000,0:00:00.101472
HDFS,HLM_Parser_S,1.000000,1.000000,1.000000,1.000000,0:00:00.094713
HDFS,Drain_A,0.999984,0.997500,1.000000,0.999969,0:00:00.116645
HDFS,HLM_Parser,1.000000,1.000000,1.000000,1.000000,0:00:00.113861
BGL,Drain,0.999599,0.962500,0.999244,0.999955,0:00:00.084996
BGL,Spell,0.956932,0.786500,0.999039,0.918231,0:00:00.165389
BGL,HLM_Parser_S,0.999314,0.944000,0.998674,0.999955,0:00:00.094185
BGL,Drain_A,0.999599,0.962500,0.999244,0.999955,0:00:00.094791
BGL,HLM_Parser,0.999495,0.947000,0.999037,0.999955,0:00:00.094143
OpenStack,Drain,0.992536,0.732500,0.999189,0.985972,0:00:00.183079
OpenStack,Spell,0.994108,0.764000,0.999953,0.988331,0:00:00.396033
OpenStack,HLM_Parser_S,0.992543,0.775000,0.996272,0.988841,0:00:00.181582
OpenStack,Drain_A,0.992536,0.732500,0.999189,0.985972,0:00:00.199780
OpenStack,HLM_Parser,0.992543,0.775000,0.996272,0.988841,0:00:00.172525
,,
