Dataset,Algorithm,TimeToken,TemplateSize
BGL_25%,Drain,0:00:32.861996,339
BGL_25%,Spell,0:00:39.291608,729
BGL_25%,HLM_Parser_S,0:00:34.429112,302
BGL_25%,Drain_A,0:00:37.412830,339
BGL_25%,HLM_Parser,0:00:37.374821,310
BGL_50%,Drain,0:01:08.121443,1046
BGL_50%,Spell,0:01:13.121498,911
BGL_50%,HLM_Parser_S,0:01:06.763918,370
BGL_50%,Drain_A,0:01:14.324692,1046
BGL_50%,HLM_Parser,0:01:12.976134,381
BGL_75%,Drain,0:01:45.747485,2544
BGL_75%,Spell,0:01:56.890346,1587
BGL_75%,HLM_Parser_S,0:01:47.807109,754
BGL_75%,Drain_A,0:02:00.127575,2544
BGL_75%,HLM_Parser,0:02:20.096437,775
BGL_100%,Drain,0:02:24.883668,3819
BGL_100%,Spell,0:16:30.281975,24444
BGL_100%,HLM_Parser_S,0:02:33.189530,1681
BGL_100%,Drain_A,0:02:57.662703,3819
BGL_100%,HLM_Parser,0:03:16.472249,1708
